"parent_pop","slope_per_Wm2","lower_per_Wm2","upper_per_Wm2"
"BH",0.000742231574578693,0.00040868492536345,0.00107577822379394
"CC",-0.0001279148304531,-0.000461180556528119,0.000205350895621918
"CP2",0.000743734929029429,0.000376412280323803,0.00111105757773505
"CP3",0.000948876608019807,0.000541704575771934,0.00135604864026768
"DPR",4.88865348151037e-05,-0.000315693937846808,0.000413467007477015
"FR",0.000917573604099428,0.000402178793633831,0.00143296841456502
"IH",-0.000105000303120307,-0.000433379739242098,0.000223379133001485
"LV1",0.000372941596784101,-7.92431797602112e-05,0.000825126373328413
"LV3",0.000754991108303217,0.000173904621400252,0.00133607759520618
"LVTR1",0.000539889888190795,7.33666046442296e-05,0.00100641317173736
"SC",0.000367470019137433,2.23970485522323e-05,0.000712542989722634
"SQ1",0.000538527214665832,2.64999752908318e-05,0.00105055445404083
"SQ2",0.000645102727958593,0.000190480960419079,0.00109972449549811
"SQ3",0.000703563176343992,0.000186259266453644,0.00122086708623434
"TM2",0.00101391952030386,0.000645249733771665,0.00138258930683605
"WL1",0.000682940062234058,0.000268490288730699,0.00109738983573742
"WL2",0.000861476513810085,0.000514403420311389,0.00120854960730878
"WR",0.000601919135715252,-7.93962294341464e-05,0.00128323450086465
"YO11",0.000272357969196836,-0.000124533425006171,0.000669249363399843
"YO4",0.000862822088489203,0.00038420245772867,0.00134144171924974
"YO7",0.000664654761807289,0.000303222839519445,0.00102608668409513
"YO8",0.000761251457628778,0.000337630948686819,0.00118487196657074
